unit,weight
Bay,2.0069464680600672e-4
Citrus,0.0010298975160382556
Clay,1.9773342685545925e-4
Escambia,9.477824004520941e-5
Flagler,6.792397614142145e-4
Gulf,0.01191314824300719
Hernando,5.280404249973199e-4
Lake,0.001185889609499344
Marion,0.012878425026003722
Martin,1.8808393067698374e-4
Monroe,0.18214971053138074
Nassau,9.204156203828258e-4
Okaloosa,1.5664653276969758e-4
Pasco,0.1799511924866975
Pinellas,2.0779834744763873e-4
Santa Rosa,1.879798510180425e-4
St. Johns,0.006981459997080948
St. Lucie,0.40816463861381075
Sumter,0.05689519179429449
Volusia,8.89262551873154e-4
Wakulla,4.287090163623006e-4
Walton,0.13417105679969904
